DateTime,AddedIPs,RemovedIPs
1551716418,0,2
1551720278,0,1
1551732008,0,3
1551733938,0,1
1551735887,1,0
1551743549,0,1
1551747369,1,0
1551751271,0,1
1551753157,1,0
1551758913,0,1
1551776166,1,0
1551789630,1,0
1551822286,0,1
1551834974,0,1
1551838825,0,1
1551864011,0,1
1551866019,1,0
1551876970,1,1
1551884678,1,0
1551888569,1,0
1551890433,1,0
1551896175,1,0
1551898103,1,0
1551916945,1,0
1551951631,0,1
1551963159,0,1
1551968932,1,0
1551970898,0,1
1551974674,0,1
1551976588,0,1
1551982343,0,1
1551984282,0,1
1551990045,1,0
1552002519,0,1
1552011405,1,0
1552022902,1,0
1552036592,1,0
1552042332,1,0
1552054094,0,1
1552056032,1,0
1552061795,1,0
1552073292,2,0
1552077160,0,1
1552094431,1,0
1552096336,1,1
1552109776,0,1
1552121294,1,0
1552123230,0,1
1552125138,2,0
1552128990,0,1
1552142434,0,1
1552148192,1,1
1552150096,1,0
1552159696,1,2
1552175297,1,0
1552181055,0,1
1552182991,2,1
1552187794,1,0
1552208165,0,1
1552212966,1,2
1552216834,1,0
1552234164,0,1
1552237930,0,1
1552245620,0,1
1552261483,0,1
1552267219,1,0
1552271071,1,2
1552274920,0,1
1552282577,1,0
1552299865,0,1
1552303698,0,1
1552307573,2,0
1552330584,1,0
1552332515,1,0
1552340177,1,0
1552347856,1,0
1552353887,0,1
1552357719,0,1
1552367296,1,1
1552371139,1,0
1552384572,1,0
1552386491,1,0
1552389373,1,0
1552393219,0,2
1552397066,2,0
1552414346,1,0
1552416281,0,1
1552420101,0,1
1552425866,0,1
1552435764,0,1
1552443409,1,0
1552452983,1,0
1552454918,0,1
1552457795,0,1
1552459693,1,0
1552463553,1,0
1552471275,0,1
1552473147,0,2
1552477229,1,0
1552482998,1,2
1552488729,1,0
1552502418,0,1
1552530774,0,1
1552532679,1,0
1552534578,1,0
1552538438,0,1
1552546102,1,0
1552548040,0,1
1552549962,0,1
1552561730,0,1
1552569414,0,1
1552575160,0,1
1552594359,1,0
1552600102,1,0
1552617378,0,1
1552621225,0,1
1552632747,0,1
1552648134,1,0
1552650037,1,0
1552678816,1,0
1552680740,0,1
1552690510,1,0
1552702117,0,1
1552711704,2,0
1552735220,0,1
1552737152,1,1
1552755398,1,0
1552764969,0,1
1552776492,0,1
1552784917,1,0
1552796442,0,1
1552798380,0,1
1552821376,1,0
1552823325,0,1
1552840579,1,0
1552842519,0,1
1552850177,1,0
1552857869,1,0
1552861962,1,0
1552866343,1,0
1552870097,0,1
1552904656,1,0
1552908490,0,1
1552926730,0,1
1552936575,0,1
1552938504,1,0
1552944503,1,1
1552946560,0,1
1552969455,1,0
1552984823,1,0
1552988677,1,0
1552992496,1,1
1553002095,1,0
1553021551,0,1
1553025417,0,1
1553031158,0,1
1553048414,1,0
1553056098,1,1
1553071703,0,1
1553075565,0,1
1553079389,1,1
1553087081,1,0
1553090909,1,0
1553092836,1,0
1553094739,0,1
1553096603,1,0
1553115896,1,0
1553135067,0,1
1553143702,0,1
1553145633,1,0
1553149472,1,0
1553155265,2,0
1553159092,1,0
1553172504,0,1
1553178270,0,1
1553180170,0,1
1553183945,0,1
1553201544,0,1
1553215217,1,0
1553230885,2,0
1553232749,0,1
1553236600,0,1
1553240452,0,1
1553244261,0,1
1553255808,1,0
1553269936,0,1
1553300894,0,1
1553305706,1,0
1553313373,0,1
1553317323,0,2
1553319165,1,0
1553321062,1,0
1553342201,0,1
1553349876,1,0
1553357573,1,0
1553359463,1,0
1553363307,1,0
1553365210,1,0
1553378707,1,0
1553386350,1,0
1553388283,1,0
1553392099,0,1
1553404576,0,1
1553406496,0,1
1553420902,1,0
1553436288,0,1
1553444196,0,1
1553446115,0,1
1553448014,0,1
1553451867,0,1
1553455693,2,0
1553458591,2,0
1553464571,0,1
1553472326,1,1
1553474179,0,1
1553482341,1,0
1553490196,1,0
1553507556,0,1
1553516177,1,0
1553520033,1,0
1553521959,1,0
1553523868,1,0
1553525789,3,0
1553527689,1,0
1553529657,1,0
1553531553,1,0
1553533493,2,0
1553537329,2,0
1553541167,1,1
1553543058,1,1
1553544982,0,2
1553546843,1,0
1553548836,1,0
1553550744,1,0
1553552657,1,0
1553554593,1,0
1553556492,1,0
1553558506,2,1
1553560351,1,0
1553562285,1,0
1553564173,1,0
1553568016,1,0
1553569936,1,1
1553575697,1,0
1553577622,0,1
1553579551,1,0
1553583371,1,0
1553587274,2,0
1553591324,1,0
